ch,yue,yue-nn,yue-wz
㕨,faan,faan,faan
㕩,pong,pong,pong
㕪,dam,dam,dam
㕫,fung,fung,fung
㕬,zung,zung,zung
㕭,jaau,jaau,jaau
㕭,aau,jaau,jaau
㕭,jiu,jaau,jaau
㕮,fu,fu,fu
㕯,neot,nat,nat
㕰,hok,hok,hok
㕱,jau,jau,jau
㕲,muk,muk,muk
㕳,hung,hung,hung
㕴,sam,sam,sam
㕵,gwok,gok,gok
㕵,wau,wau,wau
㕵㕵狗,wau wau gau,wau wau gau,wau wau gau
㕶,ng,ng,ng
㕷,waak,waak,waak
㕸,lap,lap,lap
㕹,fat,faat,fat
㕺,hiu,hiu,hiu
㕻,tau,tau,tau
㕼,hung,hung,hung
㕽,ci,ci,ci
㕾,siu,sliu,siu
㕿,wo,wo,wo
㖀,leot,lat,lat
㖁,leon,lan,lan
㖂,jai,jai,jai
㖃,hau,hau,hau
㖄,zau,zau,zau
㖅,seot,slat,sat
㖆,kuk,kuk,kuk
㖇,ji,ji,ji
㖈,lou,lu,lou
㖉,kei,ki,ki
㖊,cam,cam,cam
㖊晚黑,cam maan haak,cam maan hak,cam maan hak
㖊晚黑,cam maan hak,cam maan hak,cam maan hak
㖋,gaai,gaai,gaai
㖌,sau,sau,sau
㖍,dau,dau,dau
㖎,gaai,gaai,gaai
㖏,nit,nit,nit
㖐,wai,wai,wai
㖑,haai,haai,haai
㖒,tai,tai,tai
㖓,hung,hung,hung
㖔,tan,tan,tan
㖕,san,san,san
㖖,ngot,ngot,ngot
㖗,jam,jam,jam
㖘,san,san,san
㖘,seon,san,san
㖙,gaa,gaa,gaa
㖚,fu,fu,fu
㖛,gu,gu,gu
㖜,jing,jing,jing
㖝,mei,mi,mi
㖞,wo,wo,wo
㖞,waa,wo,wo
㖞,kwaa,wo,wo
㖟,sau,sau,sau
㖠,naa,naa,naa
㖡,e,e,e
㖡,je,je,je
㖡,nge,nge,nge
㖢,ci,ci,ci
㖣,tau,tau,tau
㖤,haam,haam,haam
㖥,leon,lan,lan
㖦,dung,dung,dung
㖧,fan,fan,fan
㖧,man,man,man
㖨,luk,luk,luk
㖩,zeoi,zui,zui
㖪,waak,waak,waak
㖫,ling,ling,ling
㖬,sau,sau,sau
㖭,tim,tim,tim
㖭,tim,lim,lim
㖮,leon,lan,lan
㖯,tung,tung,tung
㖰,tung,tung,tung
㖱,je,je,je
㖲,jyu,jyu,jyu
㖳,jyu,jyu,jyu
㖴,man,man,man
㖵,got,got,got
㖶,jin,jin,jin
㖷,si,si,si
㖸,laa,laa,laa
㖹,pan,pan,pan
㖺,ceon,can,can
㖻,nau,nau,nau
㖼,mau,mau,mau
㖽,zaak,zaak,zaak
㖾,ngok,ngok,ngok
㖿,je,je,je
㗀,jau,jau,jau
㗁,ngok,ngok,ngok
㗂,saang,saang,saang
㗂,saang,slang,saang
㗃,man,man,man
㗄,ku,ku,ku
㗅,wu,wu,wu
㗆,gaak,gaak,gaak
㗇,haa,haa,haa
㗇,gaa,haa,haa
㗈,maan,maan,maan
㗉,loek,loek,loek
㗊,leoi,lui,lui
㗋,hau,hau,hau
㗌,zat,zat,zat
㗍,zaai,zaai,zaai
㗎,gaa,gaa,gaa
㗎,ga,gaa,gaa
㗎,gaak,gaa,gaa
㗎㖞,ga wo,gaa wo,gaa wo
㗎㖞,gaa wo,gaa wo,gaa wo
㗎咋,ga za,gaa zaa,gaa zaa
㗎咋,ga zaa,gaa zaa,gaa zaa
㗎咋,gaa zaa,gaa zaa,gaa zaa
㗎咩,ga me,gaa me,gaa me
㗎咩,gaa me,gaa me,gaa me
㗎啦,ga laa,gaa laa,gaa laa
㗎啫,ga ze,gaa ze,gaa ze
㗎啫,gaa ze,gaa ze,gaa ze
㗎喇,ga laa,gaa laa,gaa laa
㗎喇咩,ga la me,gaa laat me,gaa laat me
㗎喇噃,ga la bo,gaa laat bo,gaa laat bo
㗎喎,ga wo,gaa wo,gaa wo
㗎喎,gaa wo,gaa wo,gaa wo
㗎嘛,ga maa,gaa maa,gaa maa
㗎嘞,ga la,gaa laa,gaa laa
㗎嘞,ga lak,gaa lak,gaa lak
㗏,waai,waai,waai
㗏,wai,wai,wai
㗐,haap,haap,haap
㗑,baai,baai,baai
㗒,oi,oi,oi
㗓,zeoi,zui,zui
㗔,hin,hin,hin
㗕,gau,gau,gau
㗖,daam,daam,daam
㗗,bei,bi,bi
㗘,bok,bok,bok
㗙,co,co,co
㗚,leot,lat,lat
㗛,siu,sliu,siu
㗜,cau,cau,cau
㗝,gou,gu,gou
㗞,po,po,po
㗟,zyu,zyu,zyu
㗠,ci,ci,ci
㗡,jing,jing,jing
㗢,hung,hung,hung
㗣,tai,tai,tai
㗤,zuk,cuk,cuk
㗥,kwok,kok,kok
㗦,lou,lu,lou
㗧,zat,zat,zat
㗨,haai,haai,haai
㗩,sap,sap,sap
㗪,pei,pi,pi
㗫,cit,cai,cai
㗬,zaa,zaa,zaa
㗭,sik,slik,sik
㗮,gang,gang,gang
㗯,ze,ze,ze
㗰,cung,cung,cung
㗰,saai,slai,sai
㗱,zaap,zap,zap
㗱,zep,zep,zaap
㗲,waak,waak,waak
㗳,dap,taap,taap
㗴,ngaan,ngaan,ngaan
㗵,fat,fat,fat
㗶,put,put,put
㗷,coi,soi,soi
㗸,haam,haam,haam
㗹,wai,wai,wai
㗺,saap,slaap,saap
㗻,go,go,go
㗼,jip,jip,jip
㗽,hoeng,hoeng,hoeng
㗾,hoe,hoe,hoe
㗾,ho,hoe,hoe
㗾哆,hoe doe,hoe doe,hoe doe
㗿,ho,ho,ho
㘀,zok,zok,zok
㘁,jik,jik,jik
㘂,ci,ci,ci
㘃,je,je,je
㘄,lang,lang,lang
㘅,haam,haam,haam
㘆,toi,toi,toi
㘇,wing,wing,wing
㘈,jik,jik,jik
㘉,zik,zik,zik
㘉,zit,zit,zit
㘊,kap,kap,kap
㘋,jin,jin,jin
㘋,jin,hen,jin
㘌,koek,koek,koek
㘍,zat,zat,zat
㘎,haam,haam,haam
㘏,dou,du,dou
㘐,paau,paau,paau
㘑,lai,lai,lai
㘒,zung,zung,zung
㘓,laan,laan,laan
㘔,coi,soi,soi
㘕,haam,haam,haam
㘖,ngaan,ngaan,ngaan
㘗,keoi,kyu,kyu
㘘,lyun,lyun,lyun
㘙,ngaam,ngaam,ngaam
㘚,haam,haam,haam
㘛,ham,ham,ham
㘜,cau,cau,cau
㘝,laap,naap,naap
㘝,naap,nep,naap
㘞,wo,wo,wo
㘟,coeng,coeng,coeng
㘠,bik,bik,bik
㘡,haap,haap,haap
㘢,wang,wang,wang
㘣,syun,slyun,syun
㘤,waan,waan,waan
㘥,jau,jau,jau
㘥,ngo,ngo,ngo
㘦,kan,kan,kan
㘧,zeoi,zyu,zyu
㘨,nip,nip,nip
㘩,bei,bi,bi
㘪,hou,hu,hou
㘫,ging,ging,ging
㘬,aau,aau,aau
㘭,aau,aau,aau
㘮,jik,jik,jik
㘯,coeng,coeng,coeng
㘰,zam,zam,zam
㘱,taan,taan,taan
㘲,guk,guk,guk
㘳,jau,jau,jau
㘴,zo,zo,zo
㘵,bou,bu,bu
㘶,git,git,git
㘷,ngaai,ngaai,ngaai
㘸,zong,zong,zong
㘹,ci,cai,cai
㘺,fat,faat,fat
㘻,jan,jan,jan
㘼,haau,haau,haau
㘽,zoi,zoi,zoi
㘾,jyu,jyu,jyu
㘿,nit,nit,nit
㙀,lau,lau,lau
㙁,mui,mui,mui
㙂,deoi,dui,dui
㙃,bang,bang,bang
㙄,bai,bai,bai
㙅,bou,bu,bou
㙆,wang,wang,wang
㙇,cuk,cuk,cuk
㙈,haa,haa,haa
㙉,tin,tin,tin
㙊,coeng,coeng,coeng
㙋,gei,gi,gi
㙌,suk,suk,suk
㙍,zeoi,zui,zui
㙎,wai,wai,wai
㙏,fuk,fuk,fuk
㙐,do,do,do
㙑,jyu,jyu,jyu
㙒,je,je,je
㙓,kwai,kwai,kwai
㙔,wai,wai,wai
㙕,faai,faai,faai
㙖,jyu,jyu,jyu
㙗,wui,wui,wui
㙘,jiu,jiu,jiu
㙙,lung,lung,lung
㙚,sing,sling,sing
㙛,bou,bu,bu
㙜,kok,kok,kok
㙝,hip,hip,hip
㙞,ngat,nit,nit
㙟,long,long,long
㙠,ai,ai,ai
㙡,zung,zung,zung
㙢,mun,mun,mun
㙣,zoeng,zoeng,zoeng
㙤,laa,le,le
㙥,gwan,gwan,gwan
㙦,ce,ce,ce
㙧,lau,lau,lau
㙨,gei,gi,gi
㙩,liu,liu,liu
㙪,ai,ai,ai
㙫,cap,cap,cap
㙬,ngan,ngan,ngan
㙭,kyut,kyut,kyut
㙮,daap,daap,daap
㙯,ngai,ngai,ngai
㙰,haai,haai,haai
㙱,gou,hu,hou
㙲,jung,jung,jung
㙳,ham,ham,ham
㙴,cim,cim,cim
㙵,toi,toi,toi
㙶,tong,tong,tong
㙷,zaap,zip,zip
㙸,pok,bok,pok
㙹,mung,mung,mung
㙺,kwai,kwai,kwai
㙻,cin,cin,cin
㙼,leoi,lui,lui
㙽,sik,slik,sik
㙾,hok,hok,hok
㙿,hei,hi,hi
㚀,hei,hi,hi
㚁,kiu,kiu,kiu
㚂,nong,nong,nong
㚃,wan,wan,wan
㚄,zi,zi,zi
㚅,lung,lung,lung
㚆,fuk,fuk,fuk
㚇,zung,zung,zung
㚈,ngoi,ngoi,ngoi
㚉,gu,gu,gu
㚊,hoi,hoi,hoi
㚋,diu,diu,diu
㚌,fo,fo,fo
㚍,fui,kwai,kwui
㚎,heoi,hyu,hyu
㚏,gou,gu,gou
㚐,tou,tu,tou
㚑,ling,ling,ling
㚒,sim,sim,sim
㚓,loi,loi,loi
㚔,nip,nip,nip
㚕,bat,fat,fat
㚖,gou,gu,gou
㚗,ce,ce,ce
㚘,bun,bun,bun
㚙,gaa,gaa,gaa
㚚,kwang,kong,kang
㚛,hai,hai,hai
㚜,wik,wik,wik
㚝,zeoi,zui,zui
㚞,sam,sam,sam
㚟,coek,coek,coek
㚠,hiu,hiu,hiu
㚡,gei,gi,gi
㚢,nou,nu,nu
㚣,gaau,gaau,gaau
㚤,jik,jik,jik
㚥,jyu,jyu,jyu
㚦,gei,gi,gi
㚧,cim,cim,cim
㚨,san,san,san
㚩,jim,jim,jim
㚪,hou,hu,hou
㚫,saap,slaap,saap
㚬,gwan,gwan,gwan
㚭,jau,jau,jau
㚮,daam,daam,daam
㚯,cam,cam,cam
㚰,pui,pui,pui
㚱,jau,jau,jau
㚲,cim,cim,cim
㚳,aa,aa,aa
㚴,pou,bu,pu
㚵,dung,dung,dung
㚶,ci,ci,ci
㚷,naai,naai,naai
㚸,si,si,si
㚹,maau,naau,naau
㚺,jan,jan,jan
㚻,gai,gai,gai
㚼,lau,lau,lau
㚼,nau,nau,nau
㚽,haau,haau,haau
㚾,hing,hing,hing
㚿,baau,paau,paau
㛀,co,co,co
㛁,paang,paang,paang
㛂,no,no,no
㛃,git,git,git
㛄,ji,ji,ji
㛅,nei,ji,ji
㛆,do,do,do
㛇,zong,zong,zong
㛈,haau,haau,haau
㛉,jiu,jiu,jiu
㛊,do,do,do
㛋,nei,ni,ni
㛌,mau,mau,mau
㛍,hip,hip,hip
㛎,leoi,lyu,lyu
㛏,kau,kau,kau
㛐,sou,slu,sau
㛑,caan,caan,caan
㛒,dau,dau,dau
㛓,hei,hi,hi
㛔,fung,fung,fung
㛕,jap,jap,jap
㛖,so,slo,so
㛗,ce,ce,ce
㛘,put,put,put
㛙,san,san,san
㛚,tung,tung,tung
㛛,san,slan,san
㛜,jau,jau,jau
㛝,bui,bui,bui
㛞,lung,lung,lung
㛟,wun,wun,wun
㛠,haan,haan,haan
㛡,wan,wan,wan
㛢,sau,sau,sau
㛣,wan,wan,wan
㛤,lei,li,li
㛥,taap,taap,taap
㛦,lam,laam,lam
㛧,man,man,man
㛨,koeng,koeng,koeng
㛩,zuk,zuk,zuk
㛪,jim,jim,jim
㛫,sik,slik,sik
㛬,luk,luk,luk
㛭,sik,slik,sik
㛮,sou,slu,sou
㛯,faan,faan,faan
㛰,fan,fan,fan
㛱,wui,wui,wui
㛲,faat,faat,faat
㛳,jai,jai,jai
㛴,nou,nu,nou
㛵,cing,cing,cing
㛶,taan,taan,taan
㛷,gai,gai,gai
㛸,syu,syu,syu
㛹,pin,pin,pin
㛺,jam,jam,jam
㛻,waai,waai,waai
㛼,caap,caap,caap
㛽,saan,saan,saan
㛾,haam,haam,haam
㛿,daai,daai,daai
㜀,soeng,sloeng,soeng
㜁,caa,caa,caa
㜂,fung,fung,fung
㜃,lyun,lyun,lyun
㜄,cam,cam,cam
㜅,huk,huk,huk
㜆,mai,mi,mai
㜇,wai,wai,wai
㜇,wai,ai,ai
㜈,muk,muk,muk
㜉,jung,jung,jung
㜊,zin,zin,zin
㜋,jik,jik,jik
㜌,lau,lau,lau
㜌,nau,nau,nau
㜍,tong,tong,tong
㜎,hai,hai,hai
㜏,wan,wan,wan
㜐,syu,syu,syu
㜑,po,po,po
㜒,ngai,ngai,ngai
㜓,daap,daap,daap
㜔,ging,ging,ging
㜕,lin,lin,lin
㜖,cou,cu,cou
㜗,caam,caam,caam
㜘,ze,ze,ze
㜙,luk,luk,luk
㜚,suk,sluk,suk
㜛,jyun,jyun,jyun
㜜,ngou,ngu,ngou
㜝,ngam,jam,jam
㜞,cim,cim,cim
㜟,haam,haam,haam
㜠,ceoi,cui,cui
㜡,cung,cung,cung
㜢,leoi,lyu,lyu
㜣,jin,jin,jin
㜤,nim,nim,nim
㜥,maai,maai,maai
㜦,cam,cam,cam
㜧,jyut,jyut,jyut
㜨,laai,naai,naai
㜨,naai,naai,naai
㜩,ou,u,ou
㜪,san,san,san
㜫,mei,mi,mi
㜬,daam,daam,daam
㜭,dong,dong,dong
㜮,laam,laam,laam
㜯,hei,hi,hi
㜰,joek,joek,joek
㜱,zat,zat,zat
㜲,jing,jing,jing
㜳,waai,waai,waai
㜴,mang,mang,mang
㜵,niu,niu,niu
㜶,min,min,min
㜷,laai,mi,mi
㜷,naai,me,maai
㜸,jip,nip,nip
㜸,jit,nit,nit
㜹,keoi,kyu,kyu
㜺,zaan,zaan,zaan
㜻,lyun,lyun,lyun
㜼,zat,zat,zat
㜽,zi,zi,zi
㜾,haai,haai,haai
㜿,zeoi,zyu,zyu
㝀,hou,hu,hou
㝁,hyun,hyun,hyun
㝂,zai,zai,zai
㝃,min,min,min
㝄,seon,san,san
㝅,gau,gau,gau
㝆,hei,hi,hi
㝇,seon,san,san
㝈,lyun,lyun,lyun
㝉,cyu,cyu,cyu
㝊,sau,sau,sau
㝋,liu,liu,liu
㝌,gau,gau,gau
㝍,se,sle,se
㝎,ding,ding,ding
㝏,gaai,gaai,gaai
㝐,jung,jung,jung
㝑,pong,pong,pong
㝒,geoi,gyu,gyu
㝓,hap,hap,hap
㝓,hap,kap,kap
㝔,jiu,jiu,jiu
㝕,ling,ning,ning
㝕,ning,ning,ning
㝖,ji,ji,ji
㝗,long,long,long
㝘,jung,jung,jung
㝙,jan,jan,jan
㝚,jin,jin,jin
㝛,suk,sluk,suk
㝜,sik,slik,sik
㝝,lam,lam,lam
㝞,aa,aa,aa
㝟,mou,mu,mou
㝠,ming,ming,ming
㝡,zeoi,zui,zui
㝢,jyu,jyu,jyu
㝣,ai,ai,ai
㝤,gau,gau,gau
㝥,mai,mi,mai
㝦,zeon,zan,zan
㝧,wan,wan,wan
㝨,waan,waan,waan
㝩,hoi,hoi,hoi
㝪,dim,dim,dim
㝫,lung,lung,lung
㝬,wu,wu,wu
㝭,sing,sling,sing
㝮,ceoi,cui,cui
㝯,kiu,kiu,kiu
㝰,min,min,min
㝱,mung,mung,mung
㝲,cam,cam,cam
㝳,sam,sam,sam
㝴,jyun,jyun,jyun
㝵,dak,dak,dak
㝶,dak,dak,dak
㝷,cam,cam,cam
㝸,bin,bin,bin
㝹,nau,nau,nau
㝺,lim,lim,lim
㝻,gan,gan,gan
㝼,jyu,jyu,jyu
㝽,seoi,sui,sui
㝾,zo,zo,zo
㝿,bai,bai,bai
㝿,bo,bo,bo
㞀,fui,fui,fui
㞁,jiu,jiu,jiu
㞂,teoi,tui,tui
㞃,kek,kek,kek
㞄,am,am,am
㞅,lo,lo,lo
㞆,gei,gi,gi
㞇,wui,wui,wui
㞈,but,but,but
㞉,zaat,zaat,zaat
㞊,seot,slat,sat
㞋,nin,nin,nin
㞌,jan,jan,jan
㞍,jyun,jyun,jyun
㞎,baa,be,be
㞎,bet,baa,baa
㞏,zaap,zip,zip
㞐,geoi,gyu,gyu
㞑,mei,mi,mi
㞒,ai,ai,ai
㞒,hei,hi,hi
㞓,hai,hai,hai
㞓,hei,hai,hai
㞓惊,hai geng,hai geng,hai ging
㞓驚,hai geng,hai geng,hai ging
㞔,ji,ji,ji
㞕,sit,slit,sit
㞖,ci,ci,ci
㞗,kau,kau,kau
㞗,gau,kau,kau
㞘,duk,duk,duk
㞘,dok,duk,duk
㞙,niu,niu,niu
㞚,cap,cap,cap
㞛,gei,gi,gi
㞜,teoi,tui,tui
㞝,cik,cik,cik
㞞,sung,slung,sung
㞞,cung,slung,sung
㞟,din,din,din
㞠,liu,lu,lou
㞡,zin,zin,zin
㞢,zi,zi,zi
㞢,jau,jau,jau
㞣,fan,fan,fan
㞤,jam,jam,jam
㞥,sam,cam,cam
㞦,gei,gi,gi
㞧,wui,wui,wui
㞨,zi,zi,zi
㞩,laam,laam,laam
㞪,lou,lu,lou
㞪,nou,nu,nou
㞫,zau,zau,zau
㞬,jan,jan,jan
㞭,daai,daai,daai
㞮,ngai,ngai,ngai
㞯,hei,kit,kit
㞰,heoi,hyu,hyu
㞱,sung,cung,cung
㞲,jung,jung,jung
㞳,dau,dau,dau
